epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,224.339,1.71026,0.4589,0.95305,1.42081,0.00999443,0.00333148,0.00999443,0.00333148,0.00999443,0.00333148,0.00999443,0.00333148
2,388.107,1.52793,0.49805,0.96322,1.35026,0.0197965,0.00659883,0.0197965,0.00659883,0.0197965,0.00659883,0.0197965,0.00659883
3,530.66,1.54767,0.50502,0.96838,1.3893,0.0294005,0.00980018,0.0294005,0.00980018,0.0294005,0.00980018,0.0294005,0.00980018
4,667.495,1.53311,0.53121,0.9759,1.22605,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,807.513,1.36101,0.55851,0.98091,1.14575,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,942.049,1.2677,0.59111,0.98495,1.094,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1074.33,1.22555,0.59487,0.98426,1.08308,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1237.85,1.19205,0.59961,0.98342,1.06643,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1414.79,1.17395,0.61884,0.9869,1.01979,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1591.25,1.14453,0.62148,0.98565,1.01263,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1767.09,1.13312,0.62399,0.98816,1.0011,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1940.85,1.10959,0.63736,0.98774,0.98585,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2115.99,1.10195,0.64363,0.98899,0.96353,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2292.11,1.08773,0.64781,0.98858,0.96091,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2467.16,1.0755,0.65046,0.98788,0.94952,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2594.79,1.07426,0.64712,0.99011,0.93357,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2718.65,1.0574,0.65213,0.99067,0.9341,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2843.34,1.05375,0.65965,0.98941,0.91526,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
